City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,souillac,-20.52,57.52,300.15,83,20,5.1,MU,300.15
154,sabzevar,36.21,57.68,273.41,25,75,5.47,IR,273.41
155,andenes,69.31,16.12,274.15,74,75,3.6,NO,274.15
156,kachug,53.96,105.88,250.95,98,72,1.25,RU,250.95
157,sebeta,8.92,38.62,288.15,77,75,5.1,ET,288.15
158,bengkulu,-3.8,102.27,297.25,92,98,1.47,ID,297.25
159,whitecourt,54.15,-115.69,257.15,71,75,3.1,CA,257.15
160,norman wells,65.28,-126.83,244.15,75,20,4.1,CA,244.15
161,tari,12.41,4.49,299.19,11,100,4.63,NG,299.19
162,airai,-8.93,125.41,292.8,89,100,2.09,TL,292.8
163,bam,29.11,58.36,282.27,22,0,4.64,IR,282.27
164,najran,17.49,44.13,287.15,44,75,3.1,SA,287.15
165,cururupu,-1.83,-44.87,301.31,87,70,2.02,BR,301.31
166,lubumbashi,-11.66,27.48,292.66,95,100,1.83,CD,292.66
167,khatanga,71.97,102.5,252.4,97,100,3.77,RU,252.4
168,san patricio,19.22,-104.7,302.15,74,20,5.1,MX,302.15
169,port blair,11.67,92.75,299.89,73,0,6.83,IN,299.89
170,mahebourg,-20.41,57.7,300.15,83,20,5.1,MU,300.15
171,thompson,55.74,-97.86,246.15,62,90,5.1,CA,246.15
172,ilulissat,69.22,-51.1,255.15,44,20,1.0,GL,255.15
173,les cayes,18.2,-73.75,300.2,68,0,6.88,HT,300.2
174,north bend,43.41,-124.22,284.26,71,1,1.34,US,284.26
175,aykino,62.22,49.99,269.81,93,97,3.62,RU,269.81
176,praia,14.92,-23.51,299.15,27,0,8.2,CV,299.15
177,chokurdakh,70.63,147.92,240.51,76,100,0.46,RU,240.51
178,kitgum,3.28,32.89,301.4,24,41,1.66,UG,301.4
179,hofn,64.25,-15.21,269.15,58,90,8.2,IS,269.15
180,salto del guaira,-24.06,-54.31,301.93,57,44,3.55,PY,301.93
181,vila franca do campo,37.72,-25.43,290.15,82,20,6.2,PT,290.15
182,sorada,19.75,84.43,291.32,62,0,1.07,IN,291.32
183,kodiak,57.79,-152.41,275.15,80,90,8.7,US,275.15
184,ponta do sol,32.67,-17.1,291.15,72,40,1.5,PT,291.15
185,saurimo,-9.66,20.39,295.42,78,44,0.56,AO,295.42
186,hasaki,35.73,140.83,285.37,81,75,2.6,JP,285.37
187,lasa,46.62,10.7,278.15,58,40,1.5,IT,278.15
188,grand-santi,4.25,-54.38,303.6,52,100,1.97,GF,303.6
189,champerico,14.3,-91.92,305.15,52,40,3.1,GT,305.15
190,oil city,41.43,-79.71,275.37,59,1,4.1,US,275.37
191,yangambi,0.81,24.43,298.7,40,0,1.67,CD,298.7
192,severo-kurilsk,50.68,156.12,266.06,91,71,5.43,RU,266.06
193,adre,13.47,22.2,291.44,12,0,4.69,TD,291.44
194,shenkursk,62.11,42.9,273.01,90,99,4.72,RU,273.01
195,tura,25.52,90.22,288.06,50,2,0.75,IN,288.06
196,cayenne,4.93,-52.33,302.15,66,20,5.1,GF,302.15
197,walvis bay,-22.96,14.51,293.15,77,0,2.6,NA,293.15
198,itapecerica da serra,-23.72,-46.85,297.04,77,90,6.2,BR,297.04
199,druzhba,52.04,33.95,272.86,97,99,3.32,UA,272.86
200,luganville,-15.53,167.17,296.87,93,94,1.25,VU,296.87
201,yaan,7.38,8.57,302.98,12,13,1.81,NG,302.98
202,sao joao da barra,-21.64,-41.05,298.15,88,90,2.1,BR,298.15
203,vila velha,-20.33,-40.29,299.26,94,75,4.1,BR,299.26
204,mount gambier,-37.83,140.77,290.15,93,90,5.7,AU,290.15
205,kota belud,6.35,116.43,299.15,88,75,1.0,MY,299.15
206,santa ines,-3.67,-45.38,303.66,69,59,2.12,BR,303.66
207,caravelas,-17.71,-39.25,300.48,76,33,5.2,BR,300.48
208,inhambane,-23.86,35.38,300.15,78,40,2.1,MZ,300.15
209,the valley,18.22,-63.06,298.15,78,20,5.1,AI,298.15
210,nyaunglebin,17.95,96.73,292.28,47,37,0.62,MM,292.28
211,portland,45.52,-122.68,281.48,75,90,3.1,US,281.48
212,mundi,22.07,76.5,295.06,32,0,3.18,IN,295.06
213,prince rupert,54.32,-130.32,278.15,73,90,7.7,CA,278.15
214,namatanai,-3.67,152.43,301.27,77,93,7.94,PG,301.27
215,manta,-0.95,-80.73,302.15,74,75,4.1,EC,302.15
216,longyearbyen,78.22,15.64,258.15,65,20,7.2,SJ,258.15
217,marsh harbour,26.54,-77.06,297.52,81,9,7.48,BS,297.52
218,baft,29.23,56.61,273.94,30,0,3.23,IR,273.94
219,coquimbo,-29.95,-71.34,294.15,68,20,5.7,CL,294.15
220,morant bay,17.88,-76.41,304.15,52,20,11.3,JM,304.15
221,dongsheng,39.82,109.98,274.21,41,72,4.93,CN,274.21
222,khuzhir,53.19,107.34,260.86,75,69,3.01,RU,260.86
223,suez,29.97,32.53,288.4,45,0,1.91,EG,288.4
224,shaunavon,49.65,-108.42,252.1,90,88,1.68,CA,252.1
225,wiarton,44.74,-81.13,273.71,68,90,6.2,CA,273.71
226,verkhoyansk,67.54,133.38,244.59,97,100,0.67,RU,244.59
227,klaksvik,62.23,-6.59,273.15,61,98,5.7,FO,273.15
228,chicama,-7.84,-79.15,297.15,78,86,5.7,PE,297.15
229,kamenka,51.32,42.77,268.71,92,100,7.6,RU,268.71
230,ternate,0.8,127.4,296.19,94,100,0.95,ID,296.19
231,makakilo city,21.35,-158.09,296.15,78,75,1.16,US,296.15
232,meulaboh,4.14,96.13,301.42,78,96,3.18,ID,301.42
233,dahanu,19.97,72.73,298.75,69,7,2.8,IN,298.75
234,ouesso,1.61,16.05,299.04,60,66,0.47,CG,299.04
235,villa corzo,16.17,-93.25,306.15,36,40,2.6,MX,306.15
